,TF,Target,Label
0,46,723,1
1,46,340,1
2,46,1062,1
3,46,765,1
4,46,1041,1
5,46,465,1
6,46,804,1
7,46,76,1
8,46,976,1
9,46,752,1
10,46,750,1
11,46,187,1
12,46,978,1
13,46,101,1
14,46,507,1
15,46,127,1
16,46,81,1
17,46,28,1
18,46,540,1
19,46,867,1
20,46,2,1
21,46,622,1
22,46,440,1
23,46,69,1
24,46,797,1
25,46,926,1
26,46,929,1
27,46,121,1
28,46,289,1
29,46,484,1
30,46,573,1
31,46,516,1
32,46,418,1
33,46,663,1
34,46,547,1
35,46,1101,1
36,46,1052,1
37,46,1117,1
38,46,892,1
39,46,247,1
40,46,210,1
41,46,1029,1
42,46,420,1
43,46,982,1
44,46,163,1
45,46,1044,1
46,46,618,1
47,46,828,1
48,46,276,1
49,46,1097,1
50,46,702,1
51,46,575,1
52,46,236,1
53,46,883,1
54,46,473,1
55,46,1064,1
56,46,597,1
57,46,199,1
58,46,562,1
59,46,706,1
60,46,571,1
61,46,318,1
62,46,432,1
63,46,1110,1
64,46,165,1
65,46,751,1
66,46,814,1
67,46,1118,1
68,46,758,1
69,46,119,1
70,46,423,1
71,46,673,1
72,51,743,1
73,51,15,1
74,51,300,1
75,51,674,1
76,51,270,1
77,51,928,1
78,51,991,1
79,51,484,1
80,51,865,1
81,51,568,1
82,51,571,1
83,51,684,1
84,51,689,1
85,51,146,1
86,51,1038,1
87,51,141,1
88,51,753,1
89,51,545,1
90,51,281,1
91,51,105,1
92,51,220,1
93,51,619,1
94,51,207,1
95,51,514,1
96,51,818,1
97,51,327,1
98,51,399,1
99,51,822,1
100,51,120,1
101,51,816,1
102,51,1102,1
103,51,467,1
104,51,896,1
105,51,976,1
106,51,145,1
107,51,772,1
108,51,887,1
109,51,282,1
110,51,709,1
111,51,946,1
112,51,1050,1
113,51,368,1
114,51,283,1
115,51,552,1
116,51,730,1
117,51,85,1
118,51,804,1
119,51,617,1
120,51,936,1
121,51,694,1
122,51,437,1
123,51,741,1
124,51,469,1
125,51,169,1
126,51,944,1
127,51,9,1
128,51,858,1
129,51,483,1
130,51,121,1
131,51,566,1
132,51,311,1
133,51,86,1
134,51,55,1
135,51,76,1
136,51,452,1
137,51,487,1
138,51,365,1
139,51,464,1
140,51,99,1
141,51,118,1
142,51,577,1
143,51,2,1
144,51,810,1
145,51,375,1
146,51,757,1
147,51,462,1
148,51,193,1
149,51,860,1
150,51,466,1
151,51,738,1
152,51,618,1
153,51,366,1
154,51,63,1
155,51,304,1
156,51,317,1
157,51,219,1
158,51,901,1
159,51,653,1
160,51,243,1
161,51,333,1
162,51,839,1
163,51,588,1
164,51,1014,1
165,51,844,1
166,51,1085,1
167,51,307,1
168,51,454,1
169,51,695,1
170,51,1069,1
171,51,131,1
172,51,510,1
173,51,873,1
174,51,546,1
175,51,160,1
176,51,489,1
177,51,439,1
178,51,729,1
179,51,1099,1
180,51,390,1
181,51,297,1
182,51,722,1
183,51,183,1
184,51,388,1
185,51,1086,1
186,51,1063,1
187,51,831,1
188,51,554,1
189,51,708,1
190,51,289,1
191,51,961,1
192,51,1097,1
193,51,318,1
194,51,998,1
195,51,354,1
196,51,969,1
197,51,95,1
198,51,786,1
199,51,101,1
200,51,42,1
201,51,170,1
202,51,240,1
203,51,584,1
204,51,316,1
205,51,990,1
206,51,837,1
207,51,1080,1
208,51,888,1
209,51,271,1
210,51,766,1
211,51,727,1
212,51,202,1
213,51,128,1
214,51,152,1
215,51,1057,1
216,51,950,1
217,51,232,1
218,51,404,1
219,51,948,1
220,51,905,1
221,51,813,1
222,51,102,1
223,51,273,1
224,51,926,1
225,51,265,1
226,51,979,1
227,51,290,1
228,51,607,1
229,51,479,1
230,51,472,1
231,51,84,1
232,51,951,1
233,51,1074,1
234,51,1110,1
235,51,27,1
236,51,72,1
237,51,8,1
238,51,959,1
239,51,893,1
240,51,30,1
241,51,1118,1
242,51,322,1
243,51,5,1
244,51,817,1
245,51,806,1
246,51,424,1
247,51,386,1
248,51,1003,1
249,51,444,1
250,51,826,1
251,51,392,1
252,51,526,1
253,51,429,1
254,51,371,1
255,51,932,1
256,51,955,1
257,51,920,1
258,51,320,1
259,51,666,1
260,51,658,1
261,51,43,1
262,51,733,1
263,51,779,1
264,51,971,1
265,51,981,1
266,51,565,1
267,51,324,1
268,51,140,1
269,51,349,1
270,51,398,1
271,51,515,1
272,51,268,1
273,51,431,1
274,51,87,1
275,51,935,1
276,51,1101,1
277,51,947,1
278,51,302,1
279,51,848,1
280,51,58,1
281,51,795,1
282,51,38,1
283,51,746,1
284,51,534,1
285,51,965,1
286,51,870,1
287,51,592,1
288,51,20,1
289,51,238,1
290,51,252,1
291,51,849,1
292,51,417,1
293,51,276,1
294,51,616,1
295,51,581,1
296,51,457,1
297,51,75,1
298,51,495,1
299,51,163,1
300,51,956,1
301,51,1060,1
302,51,525,1
303,51,432,1
304,51,405,1
305,51,512,1
306,51,358,1
